T29,Patents,,,,,
188,Costa Rica,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2005,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2021,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2022,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,1985,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2005,Grants of patents (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2010,Grants of patents (number),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2020,Grants of patents (number),170,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2021,Grants of patents (number),130,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2022,Grants of patents (number),156,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2010,Patents in force (number),239,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2020,Patents in force (number),"1,175",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2021,Patents in force (number),"1,188",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
188,Costa Rica,2022,Patents in force (number),"1,282",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
384,Côte d’Ivoire,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
384,Côte d’Ivoire,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
384,Côte d’Ivoire,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,1995,Resident patent filings (per million population),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2005,Resident patent filings (per million population),84,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2010,Resident patent filings (per million population),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2020,Resident patent filings (per million population),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2021,Resident patent filings (per million population),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2022,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2005,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2010,Grants of patents (number),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2020,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2021,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2022,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2005,Patents in force (number),"1,094",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2010,Patents in force (number),"2,134",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2020,Patents in force (number),"11,041",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2021,Patents in force (number),"11,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
191,Croatia,2022,Patents in force (number),"12,597",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,1995,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2005,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2020,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,1985,Grants of patents (number),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,1995,Grants of patents (number),77,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2005,Grants of patents (number),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2020,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2021,Grants of patents (number),81,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2005,Patents in force (number),653,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2020,Patents in force (number),581,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
192,Cuba,2021,Patents in force (number),494,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2005,Resident patent filings (per million population),53,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2010,Resident patent filings (per million population),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2020,Resident patent filings (per million population),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2021,Resident patent filings (per million population),37,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2022,Resident patent filings (per million population),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,1985,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2005,Grants of patents (number),68,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2010,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2022,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2010,Patents in force (number),333,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2020,Patents in force (number),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2021,Patents in force (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
196,Cyprus,2022,Patents in force (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,1995,Resident patent filings (per million population),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2005,Resident patent filings (per million population),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2010,Resident patent filings (per million population),99,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2020,Resident patent filings (per million population),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2021,Resident patent filings (per million population),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2022,Resident patent filings (per million population),69,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,1995,Grants of patents (number),"1,299",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2005,Grants of patents (number),"1,551",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2010,Grants of patents (number),911,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2020,Grants of patents (number),499,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2021,Grants of patents (number),444,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2022,Grants of patents (number),352,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2005,Patents in force (number),"10,165",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2010,Patents in force (number),"23,415",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2020,Patents in force (number),"50,193",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2021,Patents in force (number),"51,153",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
203,Czechia,2022,Patents in force (number),"50,974",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2005,Resident patent filings (per million population),243,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2010,Resident patent filings (per million population),325,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2020,Resident patent filings (per million population),268,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2022,Resident patent filings (per million population),261,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2005,Grants of patents (number),"3,583",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2010,Grants of patents (number),"6,290",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2020,Grants of patents (number),"4,227",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
408,Dem. People's Rep. Korea,2022,Grants of patents (number),"3,889",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
180,Dem. Rep. of the Congo,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
180,Dem. Rep. of the Congo,2020,Grants of patents (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
180,Dem. Rep. of the Congo,2020,Patents in force (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,1985,Resident patent filings (per million population),167,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,1995,Resident patent filings (per million population),236,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2005,Resident patent filings (per million population),523,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2010,Resident patent filings (per million population),625,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2020,Resident patent filings (per million population),628,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2021,Resident patent filings (per million population),634,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2022,Resident patent filings (per million population),629,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,1985,Grants of patents (number),"1,054",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,1995,Grants of patents (number),"1,120",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2005,Grants of patents (number),389,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2010,Grants of patents (number),155,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2020,Grants of patents (number),353,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2021,Grants of patents (number),368,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2022,Grants of patents (number),398,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2005,Patents in force (number),"56,978",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2010,Patents in force (number),"47,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2020,Patents in force (number),"68,961",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2021,Patents in force (number),"69,784",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
208,Denmark,2022,Patents in force (number),"70,398",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2021,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2020,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2021,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2022,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2020,Patents in force (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2021,Patents in force (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
262,Djibouti,2022,Patents in force (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
212,Dominica,2020,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
212,Dominica,2021,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2010,Grants of patents (number),91,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2020,Grants of patents (number),138,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2021,Grants of patents (number),227,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2022,Grants of patents (number),184,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2020,Patents in force (number),861,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2021,Patents in force (number),938,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
214,Dominican Republic,2022,Patents in force (number),"1,067",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2022,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,1995,Grants of patents (number),90,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2005,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2010,Grants of patents (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2020,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2021,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2022,Grants of patents (number),41,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2005,Patents in force (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2010,Patents in force (number),199,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2020,Patents in force (number),80,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2021,Patents in force (number),80,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
218,Ecuador,2022,Patents in force (number),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,1995,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2005,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2020,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2021,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2022,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,1985,Grants of patents (number),298,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,1995,Grants of patents (number),346,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2005,Grants of patents (number),147,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2010,Grants of patents (number),321,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2020,Grants of patents (number),495,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2021,Grants of patents (number),508,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2022,Grants of patents (number),495,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2010,Patents in force (number),"3,316",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2020,Patents in force (number),"5,655",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2021,Patents in force (number),"5,386",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
818,Egypt,2022,Patents in force (number),"5,267",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,1985,Grants of patents (number),70,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,1995,Grants of patents (number),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,2020,Grants of patents (number),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,2021,Grants of patents (number),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
222,El Salvador,2022,Grants of patents (number),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,1995,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2005,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2010,Resident patent filings (per million population),83,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2020,Resident patent filings (per million population),59,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2021,Resident patent filings (per million population),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2022,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2005,Grants of patents (number),163,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2010,Grants of patents (number),120,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2020,Grants of patents (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2021,Grants of patents (number),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2022,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2005,Patents in force (number),"1,395",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2010,Patents in force (number),"5,317",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2020,Patents in force (number),"11,444",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2021,Patents in force (number),"11,768",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
233,Estonia,2022,Patents in force (number),"11,752",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
748,Eswatini,1985,Grants of patents (number),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
231,Ethiopia,2005,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
231,Ethiopia,2020,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
231,Ethiopia,2022,Grants of patents (number),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
231,Ethiopia,2020,Patents in force (number),220,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
231,Ethiopia,2022,Patents in force (number),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
242,Fiji,1985,Grants of patents (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,1985,Resident patent filings (per million population),352,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,1995,Resident patent filings (per million population),403,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2005,Resident patent filings (per million population),637,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2010,Resident patent filings (per million population),628,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2020,Resident patent filings (per million population),630,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2021,Resident patent filings (per million population),661,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2022,Resident patent filings (per million population),630,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,1985,Grants of patents (number),"2,160",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,1995,Grants of patents (number),"2,347",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2005,Grants of patents (number),"1,757",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2010,Grants of patents (number),923,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2020,Grants of patents (number),602,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2021,Grants of patents (number),545,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
246,Finland,2022,Grants of patents (number),677,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
