T20,Agricultural production indices,,,,,
344,"China, Hong Kong SAR",2021,Agricultural production (Index Base: 2014-2016 = 100),162.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2022,Agricultural production (Index Base: 2014-2016 = 100),141.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",1985,Food production (Index Base: 2014-2016 = 100),207.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",1995,Food production (Index Base: 2014-2016 = 100),82.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2005,Food production (Index Base: 2014-2016 = 100),107.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2010,Food production (Index Base: 2014-2016 = 100),101.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2015,Food production (Index Base: 2014-2016 = 100),96.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2020,Food production (Index Base: 2014-2016 = 100),220.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2021,Food production (Index Base: 2014-2016 = 100),162.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
344,"China, Hong Kong SAR",2022,Food production (Index Base: 2014-2016 = 100),141.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",1985,Agricultural production (Index Base: 2014-2016 = 100),63.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",1995,Agricultural production (Index Base: 2014-2016 = 100),67.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2005,Agricultural production (Index Base: 2014-2016 = 100),100.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2010,Agricultural production (Index Base: 2014-2016 = 100),107.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2015,Agricultural production (Index Base: 2014-2016 = 100),86.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2020,Agricultural production (Index Base: 2014-2016 = 100),74.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2021,Agricultural production (Index Base: 2014-2016 = 100),70.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2022,Agricultural production (Index Base: 2014-2016 = 100),81.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",1985,Food production (Index Base: 2014-2016 = 100),63.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",1995,Food production (Index Base: 2014-2016 = 100),67.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2005,Food production (Index Base: 2014-2016 = 100),100.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2010,Food production (Index Base: 2014-2016 = 100),107.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2015,Food production (Index Base: 2014-2016 = 100),86.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2020,Food production (Index Base: 2014-2016 = 100),74.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2021,Food production (Index Base: 2014-2016 = 100),70.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
446,"China, Macao SAR",2022,Food production (Index Base: 2014-2016 = 100),81.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,1985,Agricultural production (Index Base: 2014-2016 = 100),51.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,1995,Agricultural production (Index Base: 2014-2016 = 100),71.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2005,Agricultural production (Index Base: 2014-2016 = 100),82.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2010,Agricultural production (Index Base: 2014-2016 = 100),84.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2015,Agricultural production (Index Base: 2014-2016 = 100),100.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2020,Agricultural production (Index Base: 2014-2016 = 100),108.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2021,Agricultural production (Index Base: 2014-2016 = 100),109.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2022,Agricultural production (Index Base: 2014-2016 = 100),111.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,1985,Food production (Index Base: 2014-2016 = 100),50.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,1995,Food production (Index Base: 2014-2016 = 100),71.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2005,Food production (Index Base: 2014-2016 = 100),83.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2010,Food production (Index Base: 2014-2016 = 100),84.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2015,Food production (Index Base: 2014-2016 = 100),100.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2020,Food production (Index Base: 2014-2016 = 100),108.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2021,Food production (Index Base: 2014-2016 = 100),109.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
170,Colombia,2022,Food production (Index Base: 2014-2016 = 100),110.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,1985,Agricultural production (Index Base: 2014-2016 = 100),48.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,1995,Agricultural production (Index Base: 2014-2016 = 100),65.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2005,Agricultural production (Index Base: 2014-2016 = 100),73.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2010,Agricultural production (Index Base: 2014-2016 = 100),98.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2015,Agricultural production (Index Base: 2014-2016 = 100),98.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2020,Agricultural production (Index Base: 2014-2016 = 100),105.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2021,Agricultural production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2022,Agricultural production (Index Base: 2014-2016 = 100),106.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,1985,Food production (Index Base: 2014-2016 = 100),48.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,1995,Food production (Index Base: 2014-2016 = 100),65.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2005,Food production (Index Base: 2014-2016 = 100),73.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2010,Food production (Index Base: 2014-2016 = 100),98.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2015,Food production (Index Base: 2014-2016 = 100),98.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2020,Food production (Index Base: 2014-2016 = 100),105.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2021,Food production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
174,Comoros,2022,Food production (Index Base: 2014-2016 = 100),106.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,1985,Agricultural production (Index Base: 2014-2016 = 100),44.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,1995,Agricultural production (Index Base: 2014-2016 = 100),51.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2005,Agricultural production (Index Base: 2014-2016 = 100),70.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2010,Agricultural production (Index Base: 2014-2016 = 100),85.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2015,Agricultural production (Index Base: 2014-2016 = 100),102.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2020,Agricultural production (Index Base: 2014-2016 = 100),102.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2021,Agricultural production (Index Base: 2014-2016 = 100),105.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2022,Agricultural production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,1985,Food production (Index Base: 2014-2016 = 100),44.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,1995,Food production (Index Base: 2014-2016 = 100),51.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2005,Food production (Index Base: 2014-2016 = 100),70.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2010,Food production (Index Base: 2014-2016 = 100),85.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2015,Food production (Index Base: 2014-2016 = 100),102.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2020,Food production (Index Base: 2014-2016 = 100),102.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2021,Food production (Index Base: 2014-2016 = 100),105.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
178,Congo,2022,Food production (Index Base: 2014-2016 = 100),106.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,1985,Agricultural production (Index Base: 2014-2016 = 100),359.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,1995,Agricultural production (Index Base: 2014-2016 = 100),198.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2005,Agricultural production (Index Base: 2014-2016 = 100),115.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2010,Agricultural production (Index Base: 2014-2016 = 100),106.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2015,Agricultural production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2020,Agricultural production (Index Base: 2014-2016 = 100),87.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2021,Agricultural production (Index Base: 2014-2016 = 100),87.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2022,Agricultural production (Index Base: 2014-2016 = 100),87.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,1985,Food production (Index Base: 2014-2016 = 100),359.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,1995,Food production (Index Base: 2014-2016 = 100),198.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2005,Food production (Index Base: 2014-2016 = 100),115.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2010,Food production (Index Base: 2014-2016 = 100),106.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2015,Food production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2020,Food production (Index Base: 2014-2016 = 100),87.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2021,Food production (Index Base: 2014-2016 = 100),87.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
184,Cook Islands,2022,Food production (Index Base: 2014-2016 = 100),87.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,1985,Agricultural production (Index Base: 2014-2016 = 100),38.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,1995,Agricultural production (Index Base: 2014-2016 = 100),61.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2005,Agricultural production (Index Base: 2014-2016 = 100),77.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2010,Agricultural production (Index Base: 2014-2016 = 100),88.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2015,Agricultural production (Index Base: 2014-2016 = 100),98.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2020,Agricultural production (Index Base: 2014-2016 = 100),99.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2021,Agricultural production (Index Base: 2014-2016 = 100),101.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2022,Agricultural production (Index Base: 2014-2016 = 100),100.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,1985,Food production (Index Base: 2014-2016 = 100),38.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,1995,Food production (Index Base: 2014-2016 = 100),62.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2005,Food production (Index Base: 2014-2016 = 100),77.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2010,Food production (Index Base: 2014-2016 = 100),88.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2015,Food production (Index Base: 2014-2016 = 100),98.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2020,Food production (Index Base: 2014-2016 = 100),99.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2021,Food production (Index Base: 2014-2016 = 100),101.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
188,Costa Rica,2022,Food production (Index Base: 2014-2016 = 100),100.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,1985,Agricultural production (Index Base: 2014-2016 = 100),42.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,1995,Agricultural production (Index Base: 2014-2016 = 100),56.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2005,Agricultural production (Index Base: 2014-2016 = 100),71.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2010,Agricultural production (Index Base: 2014-2016 = 100),74.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2015,Agricultural production (Index Base: 2014-2016 = 100),104.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2020,Agricultural production (Index Base: 2014-2016 = 100),125.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2021,Agricultural production (Index Base: 2014-2016 = 100),129.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2022,Agricultural production (Index Base: 2014-2016 = 100),132.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,1985,Food production (Index Base: 2014-2016 = 100),43.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,1995,Food production (Index Base: 2014-2016 = 100),58.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2005,Food production (Index Base: 2014-2016 = 100),72.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2010,Food production (Index Base: 2014-2016 = 100),76.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2015,Food production (Index Base: 2014-2016 = 100),104.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2020,Food production (Index Base: 2014-2016 = 100),119.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2021,Food production (Index Base: 2014-2016 = 100),120.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
384,Côte d’Ivoire,2022,Food production (Index Base: 2014-2016 = 100),121.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,1995,Agricultural production (Index Base: 2014-2016 = 100),77.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2005,Agricultural production (Index Base: 2014-2016 = 100),84.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2010,Agricultural production (Index Base: 2014-2016 = 100),94.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2015,Agricultural production (Index Base: 2014-2016 = 100),96.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2020,Agricultural production (Index Base: 2014-2016 = 100),108.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2021,Agricultural production (Index Base: 2014-2016 = 100),97.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2022,Agricultural production (Index Base: 2014-2016 = 100),89.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,1995,Food production (Index Base: 2014-2016 = 100),77.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2005,Food production (Index Base: 2014-2016 = 100),84.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2010,Food production (Index Base: 2014-2016 = 100),94.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2015,Food production (Index Base: 2014-2016 = 100),96.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2020,Food production (Index Base: 2014-2016 = 100),108.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2021,Food production (Index Base: 2014-2016 = 100),97.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
191,Croatia,2022,Food production (Index Base: 2014-2016 = 100),89.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,1985,Agricultural production (Index Base: 2014-2016 = 100),127.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,1995,Agricultural production (Index Base: 2014-2016 = 100),79.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2005,Agricultural production (Index Base: 2014-2016 = 100),96.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2010,Agricultural production (Index Base: 2014-2016 = 100),86.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2015,Agricultural production (Index Base: 2014-2016 = 100),99.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2020,Agricultural production (Index Base: 2014-2016 = 100),75.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2021,Agricultural production (Index Base: 2014-2016 = 100),69.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2022,Agricultural production (Index Base: 2014-2016 = 100),71.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,1985,Food production (Index Base: 2014-2016 = 100),126.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,1995,Food production (Index Base: 2014-2016 = 100),78.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2005,Food production (Index Base: 2014-2016 = 100),96.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2010,Food production (Index Base: 2014-2016 = 100),86.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2015,Food production (Index Base: 2014-2016 = 100),99.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2020,Food production (Index Base: 2014-2016 = 100),75.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2021,Food production (Index Base: 2014-2016 = 100),69.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
192,Cuba,2022,Food production (Index Base: 2014-2016 = 100),71.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,1985,Agricultural production (Index Base: 2014-2016 = 100),120.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,1995,Agricultural production (Index Base: 2014-2016 = 100),146.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2005,Agricultural production (Index Base: 2014-2016 = 100),126.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2010,Agricultural production (Index Base: 2014-2016 = 100),107.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2015,Agricultural production (Index Base: 2014-2016 = 100),103.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2020,Agricultural production (Index Base: 2014-2016 = 100),105.9,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2021,Agricultural production (Index Base: 2014-2016 = 100),110.8,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2022,Agricultural production (Index Base: 2014-2016 = 100),108.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,1985,Food production (Index Base: 2014-2016 = 100),120.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,1995,Food production (Index Base: 2014-2016 = 100),146.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2005,Food production (Index Base: 2014-2016 = 100),126.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2010,Food production (Index Base: 2014-2016 = 100),107.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
196,Cyprus,2015,Food production (Index Base: 2014-2016 = 100),103.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT database, last accessed May 2024."
